userID,user_collections,followers
1,5,5
2,5,5
3,5,5
4,8,8
5,9,9
6,5,5
7,5,5
8,5,5
9,5,5
10,5,5
11,5,5
12,5,5
13,5,5
14,5,5
15,5,5
16,5,5
17,5,5
18,5,5
19,5,5
20,5,5
21,5,5
22,5,5
23,5,5
24,5,5
25,5,5
26,5,5
27,5,5
28,5,5
29,5,5
30,5,5
31,5,5
32,5,5
33,5,5
34,5,5
35,5,5
36,5,5
37,5,5
38,5,5
39,5,5
40,5,5
41,5,5
42,4,4
43,5,5
44,5,5
45,5,5
46,5,5
47,5,5
48,5,5
49,4,4
50,5,5
51,5,5
52,5,5
53,5,5
54,5,5
55,5,5
56,5,5
57,5,5
58,5,5
59,5,5
60,5,5
61,5,5
62,5,5
63,5,5
64,5,5
65,5,5
66,5,5
67,5,5
68,5,5
69,5,5
70,5,5
71,5,5
72,5,5
73,5,5
74,5,5
75,5,5
76,5,5
77,5,5
78,5,5
79,5,5
80,5,5
81,5,5
82,5,5
83,5,5
84,5,5
85,5,5
86,5,5
87,5,5
88,5,5
89,5,5
90,5,5
91,5,5
92,5,5
93,5,5
94,5,5
95,4,4
96,5,5
97,5,5
98,5,5
99,5,5
100,5,5
101,5,5
102,5,5
103,5,5
104,5,5
105,5,5
106,5,5
107,5,5
108,5,5
109,5,5
110,5,5
111,5,5
112,5,5
113,5,5
114,4,4
115,4,4
116,4,4
117,4,4
118,4,4
119,4,4
120,4,4
121,4,4
122,4,4
123,4,4
124,4,4
125,4,4
126,4,4
127,4,4
128,4,4
129,4,4
130,4,4
131,4,4
132,4,4
133,4,4
134,4,4
135,4,4
136,4,4
137,4,4
138,4,4
139,4,4
140,4,4
141,4,4
142,4,4
143,4,4
144,4,4
145,4,4
146,4,4
147,4,4
148,4,4
149,4,4
150,4,4
151,4,4
152,4,4
153,4,4
154,4,4
155,4,4
156,4,4
157,4,4
158,4,4
159,4,4
160,4,4
161,4,4
162,4,4
163,4,4
164,4,4
165,4,4
166,4,4
167,4,4
168,4,4
169,4,4
170,4,4
171,4,4
172,4,4
173,4,4
174,4,4
175,4,4
176,4,4
177,4,4
178,4,4
179,4,4
180,4,4
181,4,4
182,4,4
183,4,4
184,4,4
185,4,4
186,4,4
187,4,4
188,4,4
189,4,4
190,4,4
191,4,4
192,4,4
193,4,4
194,4,4
195,4,4
196,4,4
197,4,4
198,4,4
199,4,4
200,4,4
201,2,2
